Timestamp;What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;Chocolate makes you.....;When is your birthday (date)?;Number of neighbors sitting around you?;Did you stand up?;You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ;Give a random number;Time you went to be Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?;What is your stress level (0-100)?
4/1/2019 16:01:58;AI;yes;1;mu;ja;unknown;I have no idea what you are talking about;19-02-1996;2;no;1;9,76;23:30;Sun;Sleep;10
4/1/2019 16:01:58;AI;yes;1;mu;nee;female;neither;23-09-1996;2;no;5;4;23:00;Sun;Dinner;80
4/1/2019 16:01:58;Bioinformatics and Systems Biology Master's;no;0;mu;ja;male;I have no idea what you are talking about;20/09/87;1;no;25;7;5am;peace everywhere;don't know;100
4/1/2019 16:01:58;AI;yes;1;mu;ja;male;slim;1995;2;yes;1€;4;23:30;Sunny weather;Sports activity;30
4/1/2019 16:01:59;AI;yes;1;mu;nee;male;fat;03-06;1;no;5;9;02:30;Food;Waking up on time;20
4/1/2019 16:01:59;Computer Science;no;1;unknown;ja;male;neither;15/06/1993;350;no;120;6;00:25;Extra hours of sleep;Empty to do list ;1
4/1/2019 16:02:00;AI;yes;1;mu;ja;male;unknown;69-69-1969;8;no;100;3;03:00;¯\_(ツ)_/¯;¯\_(ツ)_/¯;9001
4/1/2019 16:02:00;BA;yes;0;mu;ja;female;I have no idea what you are talking about;25-03;2;no;80;9;23u;The sun;Soccer;20
4/1/2019 16:02:00;MA Language Technology;yes;0;mu;nee;female;neither;19 April;6;no;80;9;00:00;Sunny;Not working;30
4/1/2019 16:02:00;Ai;no;0;mu;nee;female;fat;14-09;6;no;0,04;4;22,3;Sunny day;Friends, having a dring and bites;30
4/1/2019 16:02:00;Business Administration: Digital Business & Innovation;no;0;mu;nee;male;fat;23-02;5;no;5;8;1:10AM;Beer;Sunshine;70
4/1/2019 16:02:00;AI;no;1;mu;nee;male;fat;03051995;23;no;5;6;2230;sunshine;No obligations;65
4/1/2019 16:02:00;QRM;no;0;mu;nee;male;neither;06-05;8;no;100;7;12:18;Hookers;Cocaine;0
4/1/2019 16:02:00;Computer Science - internet and web technologies;no;1;mu;ja;male;neither;13/0195;0;no;50;3,14159265359;3 am;If I accomplish all the goal i had prefixed for that day;If i don't have to postpone anything;20
4/1/2019 16:02:00;AI;yes;1;mu;nee;female;slim;3/7/1995;1;no;50;6674336895322579;12;Sun;Time with friends;40
4/1/2019 16:02:00;Bioinformatics & Systems Biology;yes;0;sigma;nee;female;fat;26-08-1996;1;no;60;5;22:30;Sunny weather;Good company;15
4/1/2019 16:02:01;Masters EOR;no;0;mu;nee;female;neither;21/02/1996;0;no;20;1;00:00;Sunny;Friends&Beer;50
4/1/2019 16:01:59;Business Analytics and Data Science;yes;unknown;mu;unknown;female;fat;28-12-1994;1;no;0;3,33;00:00;Sunny weather;A smooth day;70
4/1/2019 16:02:01;Health Sciences;no;0;mu;nee;female;slim;05-11-1996;2;no;0,5;8;1,3;Nice food;No studying;10
4/1/2019 16:02:02;CS;yes;0;mu;nee;male;unknown;3rd of april;3;no;100/470;7;23;Sunny weather;Weekend;101
4/1/2019 16:02:02;BA;yes;0;mu;ja;female;fat;08;3;no;5;7;2;sun shine;pet;0
4/1/2019 16:02:02;BA;yes;0;mu;ja;male;neither;1995;400;no;80;3,14;11:30 PM;Enough food.;The sun in the afternoon.;70,45
4/1/2019 16:02:03;Computer Science;yes;1;mu;ja;male;neither;That's classified;400+;no;12 Millions ;Pi;Today;No class;No work;9999999999999
4/1/2019 16:02:02;mBA;yes;1;mu;ja;male;neither;1995-08-08;5;no;"100/475*#£"":";1;twelve;nothing to do;o;0
4/1/2019 16:02:02;AI;yes;1;mu;ja;male;fat;13-01;7;no;100/470 = 0.21;7;03:30;Head;Food;34
4/1/2019 16:02:02;Maths, stochastics, master, UvA;yes;0;mu;nee;male;neither;28/11/——;1;no;100/471;2;23;It being productive;Having time to do everything;60
4/1/2019 16:02:02;QRM;no;0;mu;nee;male;slim;28-04-1996;3;no;0;7;12;Get money;Food;30
4/1/2019 16:02:03;UvA: Information Systems - Data Science;yes;0;mu;ja;male;neither;Kingsday;2;unknown;60;42;2200;Board games;Beer;0
4/1/2019 16:02:03;Artificial Intelligence;yes;1;mu;ja;female;I have no idea what you are talking about;08-01-1997;2;no;100;3;01:00;Good food;Nice weather;50
4/1/2019 16:02:04;UvA Master Information Studies, Track Data Science;yes;1;mu;ja;male;fat;1/1/1971;4;no;2;3736536379120;02:33;Nobody bothers me;Sun;10
4/1/2019 16:02:04;BA;yes;1;mu;ja;male;fat;1994;1;no;66;12;11;Beer;Sex;20
4/1/2019 16:02:04;Computer Science;no;0;mu;nee;male;slim;040995;8;no;80;4;0:00;money;food;50
4/1/2019 16:02:04;BA;yes;0;mu;ja;male;I have no idea what you are talking about;31-10-1995;1;no;99;9;23:30;Football;Nice food;0
4/1/2019 16:02:04;Econometrics ;no;0;unknown;nee;male;fat;17 july;4;no;10;313;0,5;Good relationships that day;Having learned something usefull;50
4/1/2019 16:02:04;information sciences ;yes;0;mu;ja;male;I have no idea what you are talking about;9.1.;8;no;0;9;4am;The number of tasks I was able to complete.;Had a meaningful conversation ;42
4/1/2019 16:02:04;Econometrics;no;1;mu;nee;male;fat;01-10-1991;0;no;0,2;8;20:45;The sun;Working out;23
4/1/2019 16:02:05;CS;no;1;mu;ja;male;slim;1995;2;no;100;6;2:00;good weather;shuqi;3
4/1/2019 16:02:05;Multiple programmes;yes;1;mu;ja;male;neither;00-00-0000;5;yes;€inf;3;02:30;Having no exam;Flipping tables;9000+
4/1/2019 16:02:05;CS;no;1;mu;ja;female;neither;26 Feb;2;no;1;2;2;relax;good meal;50
4/1/2019 16:02:06;Finance;no;0;mu;nee;male;slim;24-04-1996;4;no;10;7;0030;Sporten ;Thuis komen;0
4/1/2019 16:02:06;MSc Computational Science;no;0;mu;nee;female;I have no idea what you are talking about;30/11/1992;8;no;0,22;7;02:00;Not sitting in a room with 400 students;No 9 am lectures;30
4/1/2019 16:02:06;CLS;no;0;sigma;nee;male;neither;11.06.93;1;no;1;9;1:00;Meeting up with nice people;Good weather;5
4/1/2019 16:02:06;Bioinformatics and Biology Systems;no;0;sigma;ja;male;unknown;April 2nd;8;no;10;7;12;Good weather ;Nothing to worry about ;99
4/1/2019 16:02:06;QRM;no;unknown;mu;nee;male;I have no idea what you are talking about;1-1-1993;2;no;1;1;23;data bitches;blow;100
4/1/2019 16:02:07;BA;yes;0;mu;nee;female;neither;19-10-1995;2;no;0,25;4;23:00 uur;Nice wheater;Hobby;20
4/1/2019 16:02:07;Master Econometrics;yes;1;mu;ja;male;I have no idea what you are talking about;21-08-1996;0;no;0,5;7;1:30;No obligations;Games;75
4/1/2019 16:02:07;BA;yes;0;mu;ja;male;neither;17-09-1996;2;no;30;8;23:45;Nice weather;No deadlines;60
4/1/2019 16:02:07;Bioinformatics and systems biology ;yes;0;sigma;ja;female;I have no idea what you are talking about;1994;10;no;50;2;4;Relaxing;Family;90
4/1/2019 16:02:08;UvA AI;yes;1;mu;ja;male;fat;11.4.1995;3;no;2;7;01:00;Day at the beach;The sun;15
4/1/2019 16:02:09;BA;yes;0;mu;nee;female;fat;13-11-1995;1;no;60;4;23:15;Sun;Nice food;25
4/1/2019 16:02:09;Information Studies: Data Science (UvA);yes;0;mu;ja;male;fat;30/07;3;no;20;6;23:15;It being the weekend;Good weather;20
4/1/2019 16:02:08;BA;yes;0;mu;nee;male;fat;21-05-1996;8;no;2;1;23:00;No lecture;No deadlines in the near future;43
4/1/2019 16:02:11;Financial econometrivs;no;0;mu;nee;male;fat;22+1/4.5*2/92;1;no;10;3,14150692;23:10;Zonnige dag;F1 race;67
4/1/2019 16:02:12;AI;yes;0;mu;nee;male;neither;19/10/1995;5;no;1;5;3:30;Sunshine;Productivity;5
4/1/2019 16:02:11;RM Humanities: Linguistics;no;0;sigma;nee;female;neither;09-06-1989;2;no;17;9;2 am;favourite person;good sleep;55
4/1/2019 16:02:12;Cls;unknown;0;sigma;ja;male;I have no idea what you are talking about;4 september 1995;2;no;1;491995;12;Warmth;. ;90
4/1/2019 16:02:13;Computer Science;no;1;mu;nee;male;I have no idea what you are talking about;10-08;3;no;€1;5;2 am;Good weather;Good grades;5
4/1/2019 16:02:14;MSc Artificial Intelligence;yes;1;sigma;nee;male;neither;12-01-1995;0;no;99;1;12 pm;Day off;Pasta;0
4/1/2019 16:02:14;CS;no;1;unknown;ja;female;fat;10/5;3;no;100;5;4;no class;good weather;20
4/1/2019 16:02:15;MSc Computational Science;yes;1;mu;ja;male;fat;July 1994;7;no;4,7;5;01:30;Sunshine;Swimming;7
4/1/2019 16:02:15;Computer Science;no;1;mu;ja;male;I have no idea what you are talking about;#;5;no;212.765.957.446.809;7;1am;Sun;Food;100000000000
4/1/2019 16:02:16;CS;no;1;mu;ja;male;neither;21-09;6;no;20;7;3,2;Sunny day of relaxation;Eating delicious food ;10
4/1/2019 16:02:16;Computational Science;yes;0;mu;nee;male;slim;17/07/1996;2;no;77;7;1:45;No lecture;Time for sports;17
4/1/2019 16:02:16;Computer Science Big Data Engineering Master;yes;1;mu;ja;female;fat;20.03.1996.;2;no;spare some coins;9;it was actually today, 4am;good people;wine;10^3
4/1/2019 16:02:18;AI;yes;0;mu;nee;male;fat;0704;3;no;40;3;02:00;not Monday;yes;55
4/1/2019 16:02:20;Computational Science;yes;1;mu;nee;unknown;fat;27-03-1992;35;no;101;9,99999;01:30;Time for: reading/music/training;Being with a loved one;30
4/1/2019 16:02:21;Bioinformatics;yes;1;mu;ja;male;neither;1994;6;no;1;8;02:00;Sun;Food;10
4/1/2019 16:02:24;Computer science masters;yes;1;mu;ja;female;I have no idea what you are talking about;20.02.1996;7;no;50;8;Today at 3am;Beer;Petting dog (preferably more than one);100
4/1/2019 16:02:23;CLS;no;0;mu;nee;male;neither;14-04-1996;8;no;1;5;22;Goud;Music;200
4/1/2019 16:02:24;Computer Science;yes;1;mu;ja;male;neither;September 16;3;no;3;3;2am;Sun;Football game;15
4/1/2019 16:02:25;BA;yes;1;mu;nee;male;fat;25-03;2;no;1;8;~1100 pm;Much sleep;Winning;10
4/1/2019 16:02:25;AI;yes;1;sigma;ja;male;I have no idea what you are talking about;25/07/1994;1;no;0;832795585298;3:00am;A nice hike;A lot of interesting work done ;15
4/1/2019 16:02:29;Computer Science ;no;0;sigma;ja;male;slim;1-1-2030;77;no;some money would be nice ;7;0;Football ;Mo Money ;200
4/1/2019 16:02:39;Business Administration;yes;0;mu;nee;male;fat;04/09/1994;10;no;0,5;3;1 AM;Temperature;Free time;50
4/1/2019 16:02:40;Computational Science;no;0;mu;nee;male;fat;14-04-1993;9;no;0,25;8,8888;23:56;Nice company;New experiences;34
4/1/2019 16:02:44;Computational Science;no;0;mu;nee;female;I have no idea what you are talking about;08-04;5;no;0,25;3;23:30;Having friends around;Laughing;60
4/1/2019 16:02:45;Business Analytics;yes;1;mu;ja;male;fat;09041996;9,3;no;10;7;23:00;Good data mining grade;pizza;60
4/1/2019 16:02:55;BA;yes;0;mu;ja;male;slim;First of october;four (4);unknown;0,1;sqrt (-1);10 o clock;Good coffee;Italian vineyards;99,9
4/1/2019 16:02:56;CS;no;0;mu;ja;male;fat;21/10/1995;80;no;100;10;2:00;Arsenal wins;Sports;0
4/1/2019 16:03:51;ai;no;1;sigma;ja;male;fat;20-11-1990;k;yes;100/no. students;42;02:00;eating chocolate;not being fat;80
4/1/2019 16:31:16;Psychology;no;unknown;sigma;nee;unknown;slim;14/7/1998;50;unknown;100;79;1:30;Chocolate ;Poepen;98
4/1/2019 16:53:39;AI;yes;1;mu;ja;female;neither;25-11-1994;5;no;100;5;00:30;Sunshine;Coffee;55
